ID,Age,Education,Marital_Status,Income,Recency,TotalSpend,TotalPurchases,CampaignAccepted,WebEngagement,HouseholdDependents,Segment,SegmentName,PCA1,PCA2
1409,64,Graduation,Together,40689.0,69,444,13,0,15,1,3,Digital-Engaged,-0.45817571427467507,1.4354598588640493
7892,46,Graduation,Single,18589.0,89,75,6,0,9,0,1,Low-Engagement,-1.451089700477392,-0.7895970312199394
2404,39,Graduation,Married,53359.0,4,257,10,0,12,2,1,Low-Engagement,-1.024882864063801,1.1710513938517177
9422,26,Graduation,Married,38360.0,26,131,7,0,5,1,1,Low-Engagement,-1.3645668371146422,-1.1714036117423414
1966,50,PhD,Married,84618.0,96,1672,25,1,8,0,2,Established Value,3.3448156318100626,-0.5873757822233652
6864,26,Master,Divorced,10979.0,34,30,6,0,8,0,1,Low-Engagement,-1.6960050168504612,-0.9536219547112614
3033,52,Master,Together,38620.0,56,318,10,0,5,0,1,Low-Engagement,-0.5350218862699975,-1.6413695032045843
5710,45,Graduation,Together,40548.0,31,120,7,1,7,1,1,Low-Engagement,-0.8273344845609925,-0.7566810123532477
7373,63,PhD,Divorced,46610.0,8,302,11,0,10,2,1,Low-Engagement,-1.105861956056341,0.7385013641886624
8755,69,Master,Married,68657.0,4,1196,17,0,10,0,2,Established Value,1.5293303111197816,-0.1970684190823104
10738,64,Master,Single,49389.0,55,65,5,0,9,2,1,Low-Engagement,-1.6785280000389793,0.21483709258543837
4339,45,PhD,Married,67353.0,37,913,23,0,7,1,2,Established Value,1.1801219873117648,-0.18781097743273545
10755,39,2n Cycle,Married,23718.0,76,81,6,0,10,1,1,Low-Engagement,-1.7520545487324335,0.0022706896431665497
8595,42,Graduation,Widow,42429.0,99,67,5,0,6,1,1,Low-Engagement,-1.4397445148528636,-1.0896773700047595
2968,72,PhD,Divorced,48948.0,53,902,22,1,13,0,3,Digital-Engaged,1.6547490335397175,0.6650409077046257
8601,35,Graduation,Married,80011.0,3,1395,19,0,12,1,3,Digital-Engaged,1.7067134931409862,0.8823785872252304
503,30,Master,Married,20559.0,88,53,5,0,10,1,1,Low-Engagement,-1.9213615651216192,-0.03735268802481749
8430,58,Graduation,Together,21994.0,4,22,3,0,5,1,1,Low-Engagement,-2.1376154166667285,-1.246733635002309
2139,40,Master,Married,7500.0,19,31,5,0,7,1,1,Low-Engagement,-2.306162052589957,-0.6568335937214095
1371,39,Graduation,Single,79941.0,72,984,15,0,3,0,2,Established Value,1.3775617605537231,-2.0810734460195084
9909,19,2n Cycle,Married,7500.0,24,122,7,0,12,0,1,Low-Engagement,-1.5688073990638847,0.07846771537064469
7286,47,Graduation,Together,41728.0,92,55,4,0,12,1,1,Low-Engagement,-1.4503579141509568,0.34282691881539434
6566,61,PhD,Married,72550.0,39,1319,19,0,13,2,3,Digital-Engaged,1.0355129544085226,1.6622859314572105
8614,58,Graduation,Widow,65486.0,29,507,16,0,6,1,2,Established Value,0.2675308718468586,-0.6795244323904182
4114,51,Master,Married,79143.0,2,1693,28,0,9,0,2,Established Value,2.9792570233282216,-0.06020405446803037
1331,38,Graduation,Single,35790.0,54,72,5,0,9,1,1,Low-Engagement,-1.556808581884213,-0.2929597907737819
2225,38,Graduation,Divorced,82582.0,54,1617,20,2,5,0,0,Premium High-Value,3.313508885783126,-1.5129893731956
9381,37,Graduation,Married,66373.0,57,606,16,0,7,2,3,Digital-Engaged,-0.04693370659141694,0.0845888298882002
6260,60,Master,Together,82384.0,55,1957,26,1,4,0,2,Established Value,3.552812376491935,-1.472016652419881
10383,49,Graduation,Divorced,70287.0,30,1093,20,0,8,0,2,Established Value,1.659382393698448,-0.6060132432964626
7437,27,Graduation,Single,27938.0,31,29,5,0,4,1,1,Low-Engagement,-1.8601376932597977,-1.4623612238795336
8375,47,PhD,Married,55954.0,63,518,16,0,15,1,3,Digital-Engaged,0.1837738658459251,1.505605975719114
6853,33,Master,Single,75777.0,12,1438,20,2,4,0,0,Premium High-Value,2.9694272179579126,-1.6942606579856394
3076,40,Graduation,Together,66653.0,18,612,18,0,7,2,3,Digital-Engaged,0.09971660820514072,0.1973451431079566
1012,63,Graduation,Single,61823.0,26,884,20,0,15,1,3,Digital-Engaged,0.9273720556403717,1.676598329755692
6518,64,PhD,Widow,67680.0,8,606,18,0,12,1,3,Digital-Engaged,0.6334809634765755,0.870056244480145
4137,67,Graduation,Together,70666.0,29,1076,15,0,11,0,2,Established Value,1.3483579254881972,-0.0604911711748399
8082,44,Graduation,Married,25721.0,75,34,4,0,8,1,1,Low-Engagement,-1.9147744218578606,-0.5638300175004949
1386,48,Graduation,Together,32474.0,0,11,3,0,8,2,1,Low-Engagement,-2.2929820187428303,0.005896563558828605
9369,36,2n Cycle,Single,88194.0,19,1274,31,2,16,1,0,Premium High-Value,3.621307317374667,2.1349229767879327
4477,57,Graduation,Together,69096.0,4,653,17,0,9,1,3,Digital-Engaged,0.595671232603264,0.1033512713287933
1357,45,Graduation,Together,74854.0,90,1562,12,0,7,3,3,Digital-Engaged,0.2969448400589099,0.4386542029610844
1402,61,Master,Married,66991.0,1,1253,18,0,7,0,2,Established Value,1.5659048713278103,-0.8814467157255931
6312,56,Graduation,Married,65031.0,29,863,26,0,17,1,3,Digital-Engaged,1.4335743833061119,2.371130293953939
8132,40,PhD,Married,60631.0,88,661,19,1,16,2,3,Digital-Engaged,0.673336862013438,2.312066287410602
1050,63,Graduation,Married,28332.0,58,65,7,0,4,0,1,Low-Engagement,-1.232867164526018,-1.9681630543984399
5846,38,Graduation,Divorced,40246.0,68,13,3,0,7,1,1,Low-Engagement,-1.669399605953423,-0.8821316197136485
1859,43,Master,Married,75251.0,34,1890,18,0,12,0,2,Established Value,2.4129629704117708,0.28293650927666103
7503,39,Graduation,Single,75825.0,40,2209,22,1,9,0,2,Established Value,3.338844776807169,-0.3650877330685416
10401,39,2n Cycle,Together,26326.0,12,18,3,0,3,0,1,Low-Engagement,-1.622500155109767,-2.3061555230309545
1618,50,Graduation,Together,56046.0,9,692,19,1,18,0,3,Digital-Engaged,1.4955145862149104,1.7919956326814381
3332,30,Graduation,Single,29760.0,87,165,8,0,11,1,1,Low-Engagement,-1.3759780107016342,0.2902523262299449
2261,46,Graduation,Married,26304.0,5,16,3,0,8,1,1,Low-Engagement,-1.9953914133757031,-0.5311087982234977
5346,42,2n Cycle,Married,23559.0,87,79,6,0,10,1,1,Low-Engagement,-1.7562922213858805,-0.008504501328765282
4119,52,Master,Together,38620.0,56,318,10,0,5,0,1,Low-Engagement,-0.5350218862699975,-1.6413695032045843
535,28,Graduation,Divorced,81361.0,18,778,26,0,4,0,2,Established Value,2.00167665545324,-1.383881207120908
5268,55,Graduation,Married,29440.0,95,56,5,0,8,2,1,Low-Engagement,-2.1760534704967176,-0.007670992575212986
273,45,Master,Married,36138.0,48,151,8,1,10,2,1,Low-Engagement,-1.2326615295423635,0.5579178060865593
4452,58,Graduation,Single,50388.0,3,372,13,2,13,1,3,Digital-Engaged,0.6023559986256753,0.8654125380750393
8504,42,Graduation,Married,79593.0,70,1366,18,1,7,0,2,Established Value,2.443672846515503,-1.0498067753923126
771,48,Graduation,Together,54178.0,79,194,9,0,4,1,1,Low-Engagement,-0.7960892106685522,-1.4436136535806425
11178,43,Master,Single,42394.0,69,32,4,0,8,1,1,Low-Engagement,-1.5162507826500682,-0.6094052073991829
2230,45,PhD,Married,23626.0,84,43,7,0,8,1,1,Low-Engagement,-1.7468258909894474,-0.45591032753234145
7516,32,Graduation,Married,30096.0,30,45,5,0,8,1,1,Low-Engagement,-1.7356025548348486,-0.4944225749056154
7247,55,Graduation,Widow,47916.0,72,606,17,1,13,1,3,Digital-Engaged,0.5756102079387414,1.0124298047461584
11100,43,Graduation,Divorced,51813.0,37,63,5,0,9,2,1,Low-Engagement,-1.6242710644357539,0.22570376073667991
4646,64,2n Cycle,Married,78497.0,44,978,24,1,7,0,2,Established Value,2.4844004402925823,-0.8029964263968538
3037,32,PhD,Married,50150.0,32,410,14,0,10,0,3,Digital-Engaged,0.17368131802560408,-0.2874126389211777
1473,55,2n Cycle,Single,47823.0,0,72,5,0,10,1,1,Low-Engagement,-1.2595306827029809,-0.03169595527765966
1016,56,PhD,Single,34554.0,43,55,5,0,8,1,1,Low-Engagement,-1.6177661766449545,-0.5214249368476729
4518,36,Graduation,Together,85693.0,59,1169,25,0,14,1,3,Digital-Engaged,2.0952495034929144,1.5128210240633457
9370,70,PhD,Married,65846.0,68,1120,15,0,10,0,2,Established Value,1.2621629149695928,-0.32830074875036447
8908,56,Graduation,Married,87195.0,35,1097,19,0,4,0,2,Established Value,1.9422032573923798,-1.673772701128357
8373,36,Basic,Together,24594.0,94,29,4,0,6,1,1,Low-Engagement,-1.973184602086564,-1.066532121173543
7533,51,Graduation,Married,49096.0,15,187,9,0,11,2,1,Low-Engagement,-1.2731354896930445,0.89205740294592
2683,46,Graduation,Married,52413.0,56,910,22,0,12,2,3,Digital-Engaged,0.3810290366692817,1.5700469185338348
3629,37,Graduation,Single,38557.0,17,145,7,0,10,1,1,Low-Engagement,-1.2754006675930478,0.05412965175749149
10991,55,Master,Married,89058.0,18,850,13,0,7,0,2,Established Value,1.3889052325479219,-1.1558411443408176
5077,36,Graduation,Together,77298.0,46,969,23,0,9,1,2,Established Value,1.4998972631481657,0.25948311456859185
7431,24,PhD,Single,68126.0,40,1820,16,1,16,0,3,Digital-Engaged,2.563160601285308,1.1378954425896532
3267,52,Master,Together,57288.0,27,608,17,1,14,1,3,Digital-Engaged,0.811800580339446,1.2727632261581558
999,24,Graduation,Single,86037.0,95,730,24,2,9,0,0,Premium High-Value,2.94362296709248,-0.4544772400897881
9215,35,PhD,Married,43974.0,19,551,16,0,13,1,3,Digital-Engaged,-0.10953688003953024,1.1013737962282755
2286,53,Graduation,Single,50785.0,27,114,6,0,8,2,1,Low-Engagement,-1.5494072624048199,0.033154974391634943
1592,45,Graduation,Married,90765.0,25,1724,15,2,5,0,0,Premium High-Value,3.254089383820076,-1.6917566018289953
367,37,2n Cycle,Married,36550.0,74,577,15,0,18,1,3,Digital-Engaged,-0.25461587815035647,2.248387585266947
5234,48,2n Cycle,Together,30753.0,85,81,5,0,6,2,1,Low-Engagement,-2.1525069233348093,-0.4879611289786648
9862,46,Graduation,Together,21918.0,37,33,5,0,8,1,1,Low-Engagement,-1.9422071590188155,-0.47635752563500805
9805,62,Master,Together,56129.0,65,660,18,0,10,1,3,Digital-Engaged,0.38199718914194775,0.3614612326093048
6205,48,Master,Single,32557.0,13,80,6,0,7,1,1,Low-Engagement,-1.5920368853161586,-0.6908051094380071
8442,30,Master,Married,19510.0,63,30,4,0,8,2,1,Low-Engagement,-2.511966076385765,0.018703382713643905
7386,39,Graduation,Divorced,30992.0,83,43,4,0,8,1,1,Low-Engagement,-1.7789055296958924,-0.5882516808174935
7215,32,Graduation,Single,101970.0,69,1135,27,3,8,0,0,Premium High-Value,4.165365841643389,-0.6424078784103183
1491,50,2n Cycle,Together,71488.0,87,559,14,0,4,0,2,Established Value,0.7398812022150244,-1.8683187451562921
11071,31,Graduation,Single,79607.0,37,1923,15,0,4,0,2,Established Value,2.221767634383013,-1.7906675842263853
3381,62,Master,Married,54348.0,51,90,6,0,8,2,1,Low-Engagement,-1.4822085461551227,-0.002689496121906508
11051,59,PhD,Together,77376.0,72,661,19,0,10,2,3,Digital-Engaged,0.5218924013129362,0.8763442703898633
8026,63,Graduation,Married,62998.0,10,463,14,0,10,1,3,Digital-Engaged,0.0848139290010898,0.24688103103694312
433,57,Master,Alone,61331.0,42,632,18,0,19,2,3,Digital-Engaged,0.1678485464027928,3.1098201130743086
9597,46,Graduation,Married,73448.0,10,725,18,0,11,0,2,Established Value,1.3072849682171448,0.05701483698604151
5290,51,PhD,Married,41551.0,51,279,11,0,13,2,1,Low-Engagement,-1.198983150679031,1.4400452478092693
1685,48,PhD,Together,62981.0,21,1482,22,1,7,0,2,Established Value,2.420799740074713,-0.7995759398494682
5342,39,Basic,Divorced,9548.0,31,29,4,0,9,1,1,Low-Engagement,-2.299222363711463,-0.22540350552057437
9579,56,PhD,Married,33762.0,61,106,6,0,10,3,1,Low-Engagement,-2.3752949888754338,1.088848865913056
7660,42,PhD,Alone,35860.0,37,49,4,1,6,2,1,Low-Engagement,-1.6694565881660235,-0.5518884454777067
1461,50,PhD,Divorced,36921.0,74,38,5,0,9,2,1,Low-Engagement,-2.0002737848432988,0.23376940836039167
821,23,Master,Single,92859.0,46,2077,21,0,7,0,2,Established Value,3.141860898255418,-0.8881429581300696
11084,39,Master,Together,65104.0,4,1053,15,0,10,1,3,Digital-Engaged,0.7335080023180727,0.2897564168150462
8690,53,Graduation,Married,86111.0,73,1385,22,0,7,0,2,Established Value,2.432101191146622,-0.8655234197476177
2937,41,PhD,Single,68352.0,47,871,22,0,14,1,3,Digital-Engaged,1.2002343039089969,1.4650736814808323
9701,27,Graduation,Together,41883.0,13,312,9,0,11,1,1,Low-Engagement,-0.8921114094464115,0.3667711494857471
9949,39,Graduation,Married,59809.0,36,877,12,0,11,2,3,Digital-Engaged,-0.18490834941326667,0.9554207218214534
10837,40,Graduation,Married,23957.0,47,68,5,0,8,1,1,Low-Engagement,-1.8605181732692702,-0.4925212684181814
3120,34,Graduation,Together,38547.0,49,22,3,0,9,1,1,Low-Engagement,-1.6753821126097719,-0.3706250959829276
5885,42,2n Cycle,Married,35688.0,94,211,9,0,12,3,1,Low-Engagement,-1.99232150704532,1.6475274049304753
4050,49,Master,Married,49605.0,65,127,7,0,5,0,1,Low-Engagement,-0.6500672193458983,-1.7972345979707696
3830,62,Master,Married,59354.0,59,459,15,0,7,2,1,Low-Engagement,-0.41705956816934947,0.0658594265908201
7987,46,Graduation,Married,65747.0,96,460,15,1,14,1,3,Digital-Engaged,0.7517965268989438,1.1006966377617087
7798,43,2n Cycle,Together,46344.0,28,429,13,0,14,1,3,Digital-Engaged,-0.35534151031327926,1.216325573882385
92,27,Graduation,Alone,34176.0,12,89,7,0,9,1,1,Low-Engagement,-1.4462310130803768,-0.17114490896694565
7055,63,PhD,Together,61010.0,57,1021,24,0,13,1,3,Digital-Engaged,1.2842156675765786,1.3095722551870461
10240,66,Graduation,Together,69372.0,10,1381,20,2,14,0,0,Premium High-Value,2.909994912479608,0.7605991615743978
3025,57,Graduation,Single,49967.0,4,306,12,0,13,1,3,Digital-Engaged,-0.46581538974223313,0.9480906946286567
9283,37,Graduation,Single,60199.0,49,18,3,0,4,3,1,Low-Engagement,-2.1165166261730373,-0.5524744696502424
9970,38,Graduation,Together,55375.0,3,162,8,0,3,1,1,Low-Engagement,-0.8898442012140078,-1.6501720256694756
2730,60,Graduation,Single,80317.0,64,1231,17,0,4,0,2,Established Value,1.761125203012828,-1.75432566474611
2795,57,Master,Single,30523.0,0,13,3,0,8,3,1,Low-Engagement,-2.7826061015701558,0.5629984526235513
9260,70,PhD,Married,70356.0,20,1706,25,0,16,0,3,Digital-Engaged,2.6748616398605107,1.5417523779081967
8182,31,Graduation,Married,23228.0,91,121,7,0,11,1,1,Low-Engagement,-1.641774533928113,0.2690903934684634
10095,40,PhD,Divorced,74165.0,9,1293,19,0,7,0,2,Established Value,1.8450638688082297,-0.8745873229998997
8475,42,PhD,Married,157243.0,98,1608,22,0,0,1,2,Established Value,2.2911843993836865,-2.066993450002473
4370,49,Graduation,Together,43482.0,83,88,6,0,8,3,1,Low-Engagement,-2.1840608743858003,0.5493113237895223
10573,62,Graduation,Divorced,62551.0,27,421,17,1,9,0,2,Established Value,1.1404033530670012,-0.513433121636006
3712,56,Graduation,Divorced,52332.0,63,259,11,1,7,0,1,Low-Engagement,0.30634346350728264,-1.2280971367337514
6637,27,Graduation,Single,66951.0,46,1117,14,0,4,0,2,Established Value,1.125974762741835,-1.8062571530895102
3152,58,Graduation,Together,26091.0,84,89,6,0,7,2,1,Low-Engagement,-2.1732881797118826,-0.19219816059423278
5610,50,Graduation,Together,33456.0,58,36,4,0,8,2,1,Low-Engagement,-2.1717412354558565,-0.019353115631890357
6460,33,Graduation,Married,28718.0,78,57,5,0,10,1,1,Low-Engagement,-1.722764385633771,-0.052378803359010725
1349,45,Graduation,Married,50447.0,4,148,7,0,9,2,1,Low-Engagement,-1.4456204462925049,0.3382890242803662
1880,56,PhD,Together,53537.0,17,93,6,0,7,2,1,Low-Engagement,-1.5178946779333924,-0.20873928601984604
641,48,Graduation,Single,52074.0,77,119,6,1,6,1,1,Low-Engagement,-0.6295144148594883,-1.1196543957352523
8717,40,PhD,Married,80427.0,56,1835,27,0,16,1,3,Digital-Engaged,2.734053478735732,2.0998697703371634
10314,67,PhD,Married,83837.0,79,1318,24,2,13,0,0,Premium High-Value,3.474374903182193,0.548538382525828
10854,45,PhD,Married,38853.0,90,45,5,0,9,2,1,Low-Engagement,-1.9455141918699435,0.21149801013278136
10492,56,Graduation,Together,38285.0,96,10,3,0,2,3,1,Low-Engagement,-2.671445359052534,-1.019362046800402
6935,64,2n Cycle,Married,78497.0,44,978,24,1,7,0,2,Established Value,2.4844004402925823,-0.8029964263968538
7698,39,PhD,Married,51650.0,81,191,9,0,9,1,1,Low-Engagement,-0.786337012615935,-0.2210641543151206
3559,27,2n Cycle,Married,16248.0,77,57,6,0,8,1,1,Low-Engagement,-1.9823430289730173,-0.4625714628594563
10562,69,Master,Married,66835.0,21,1033,23,0,8,0,2,Established Value,1.7305545324903273,-0.47623529787600605
10796,31,Master,Married,30477.0,16,66,5,0,7,1,1,Low-Engagement,-1.7239637609581029,-0.7244194435752189
2563,54,Basic,Married,28249.0,80,43,5,0,8,0,1,Low-Engagement,-1.33285785891179,-1.0908917475724418
3518,32,Graduation,Married,25271.0,45,50,4,0,10,1,1,Low-Engagement,-1.8858155671963766,-0.044872932246347905
5823,45,PhD,Single,32303.0,63,39,5,0,6,1,1,Low-Engagement,-1.712952812082658,-1.0217847598151824
3934,49,Graduation,Married,61286.0,34,608,16,0,12,1,3,Digital-Engaged,0.3453002757456187,0.7896321155004113
6982,39,Graduation,Married,74068.0,14,1581,23,0,6,0,2,Established Value,2.3658750136027202,-0.9722479929314106
6431,51,PhD,Married,45759.0,13,68,5,0,9,2,1,Low-Engagement,-1.7684288819705416,0.26906357867352493
9733,37,Basic,Together,24882.0,52,80,4,1,7,1,1,Low-Engagement,-1.4465586531831587,-0.8405495146112841
5602,26,PhD,Together,66973.0,98,1282,27,0,11,0,2,Established Value,2.2894844268658914,0.32477036491699773
1324,27,Graduation,Married,38872.0,93,91,6,0,11,1,1,Low-Engagement,-1.361822636279301,0.18137820987043834
326,42,Graduation,Married,51148.0,38,315,12,0,11,2,1,Low-Engagement,-0.8969622914940448,0.9741038230602131
7224,38,Graduation,Married,31353.0,24,31,4,0,9,2,1,Low-Engagement,-2.2164793396547977,0.26523123914637675
6999,35,Master,Married,69661.0,80,834,22,0,10,0,2,Established Value,1.5869754775736045,-0.0976119091077327
9938,61,Graduation,Married,80067.0,82,1600,16,1,6,0,2,Established Value,2.5123868615211413,-1.3780395781129295
6422,61,Graduation,Married,86718.0,20,1270,16,0,7,0,2,Established Value,1.9186390545788337,-1.0355280846264525
3182,42,PhD,Single,46854.0,81,263,9,1,13,2,1,Low-Engagement,-0.7567955291199964,1.259095149238485
7300,63,Graduation,Divorced,69142.0,50,535,16,1,13,1,3,Digital-Engaged,0.9500593241246196,0.931503734168245
10424,47,Graduation,Single,75922.0,60,1295,17,0,5,0,2,Established Value,1.7268926050842786,-1.4925560571943302
8727,37,Graduation,Divorced,63693.0,63,1150,26,0,17,1,3,Digital-Engaged,1.6630182624258956,2.343643207802401
2798,38,PhD,Together,102160.0,54,1240,26,3,11,0,0,Premium High-Value,4.231727225271688,0.06730292709509157
1030,50,PhD,Single,40637.0,72,38,4,0,8,2,1,Low-Engagement,-1.9954512703016754,-0.05590655396082523
624,31,Master,Single,18890.0,5,35,3,1,6,0,1,Low-Engagement,-1.2785707741772656,-1.6056659725176408
5176,27,Graduation,Together,29604.0,88,53,4,1,10,1,1,Low-Engagement,-1.3088627011813088,-0.1622144115456673
5552,52,Master,Divorced,48721.0,50,293,11,0,10,2,1,Low-Engagement,-1.0578811196619258,0.6889185519036491
868,49,Graduation,Married,44794.0,99,65,5,0,8,1,1,Low-Engagement,-1.3554467084611566,-0.6103148862306063
380,61,Graduation,Divorced,64497.0,17,1804,24,1,19,1,3,Digital-Engaged,2.617456029383813,2.748356652829915
2677,59,Graduation,Together,46097.0,11,241,10,0,7,1,1,Low-Engagement,-0.8433499101555917,-0.5816103709034329
6521,61,Graduation,Together,77972.0,18,1101,19,0,5,0,2,Established Value,1.7363972502840537,-1.3843983586425685
6927,47,PhD,Married,44377.0,70,264,11,0,13,2,1,Low-Engagement,-1.1420699430894876,1.4116955434406115
2877,41,Master,Together,46014.0,21,541,16,0,14,2,3,Digital-Engaged,-0.49727299312371337,1.8873075075313601
0,30,Graduation,Married,70951.0,66,1198,16,0,4,0,2,Established Value,1.4367696752780046,-1.7645373392518529
1584,38,Graduation,Married,41443.0,79,482,14,0,16,1,3,Digital-Engaged,-0.32039218473928455,1.703513230409327
7264,37,2n Cycle,Single,52195.0,2,17,3,0,9,3,1,Low-Engagement,-2.2428462282237214,0.7371701322045172
6274,67,Master,Married,83790.0,81,1615,24,2,11,0,0,Premium High-Value,3.7106240226320972,0.06315860110138018
1377,61,Master,Widow,44551.0,24,285,10,0,11,1,1,Low-Engagement,-0.7810491497989765,0.3838025151824809
454,35,Graduation,Together,69508.0,48,1135,26,0,17,1,3,Digital-Engaged,1.7875649130935172,2.3407886899867845
1755,27,2n Cycle,Together,45204.0,93,114,6,0,4,1,1,Low-Engagement,-1.2910847271316856,-1.541506920830306
2075,46,Graduation,Married,72460.0,56,1047,15,0,4,0,2,Established Value,1.2666924389703353,-1.7974791504932481
4785,45,PhD,Together,77622.0,3,714,20,0,9,2,3,Digital-Engaged,0.6217910608105667,0.7401889218521902
9076,35,PhD,Married,30732.0,44,185,9,0,12,1,1,Low-Engagement,-1.255743410080541,0.6116206086882534
7079,53,Graduation,Divorced,63887.0,38,1245,27,0,15,1,3,Digital-Engaged,1.7902505270644637,1.9197633151008155
4653,37,Graduation,Together,42011.0,46,189,8,0,11,1,1,Low-Engagement,-1.0649034733100107,0.294452686903148
7375,39,Graduation,Together,51369.0,84,576,14,0,16,1,3,Digital-Engaged,0.0032988464708415387,1.6686537584615082
709,63,Graduation,Divorced,51537.0,27,1103,15,0,10,1,3,Digital-Engaged,0.4548761673146721,0.3088449338535749
460,43,PhD,Married,79930.0,72,1753,16,0,5,0,2,Established Value,2.1658005521957704,-1.5491036728116276
3726,29,PhD,Together,34320.0,66,17,3,0,9,1,1,Low-Engagement,-1.7794129703831532,-0.3749561660737701
6798,49,Graduation,Single,37070.0,30,433,14,0,12,2,1,Low-Engagement,-0.9767693606332061,1.3442550480017559
5341,53,2n Cycle,Divorced,81975.0,2,1588,13,1,13,1,3,Digital-Engaged,1.9878500058151447,0.8417371809722428
1606,44,Graduation,Together,38590.0,65,22,3,0,9,1,1,Low-Engagement,-1.6723396730925189,-0.3871166812160586
9617,64,Graduation,Single,15033.0,37,19,4,0,4,0,1,Low-Engagement,-1.8058045763138215,-2.0164943340628483
3233,50,PhD,Married,62745.0,89,1117,26,0,12,1,3,Digital-Engaged,1.540882384335894,1.1028504653943227
89,40,2n Cycle,Married,22212.0,49,69,6,0,8,1,1,Low-Engagement,-1.8316319371791316,-0.4523026739506611
2936,33,Master,Together,23661.0,46,23,4,0,8,1,1,Low-Engagement,-1.9778315541085298,-0.5279142771279289
9449,57,PhD,Single,79761.0,32,605,18,0,8,1,2,Established Value,0.8678035240940228,-0.16537618236315813
7297,42,Graduation,Single,7500.0,54,57,7,0,10,1,1,Low-Engagement,-2.0952236040360988,0.1114255216274302
313,47,Graduation,Widow,73455.0,98,2088,21,1,9,0,2,Established Value,3.185323083005344,-0.45429607088699225
9940,57,Graduation,Together,64961.0,97,1009,14,0,9,1,3,Digital-Engaged,0.6179686811392516,-0.08556290429013051
10735,44,Graduation,Single,22804.0,75,26,4,0,11,1,1,Low-Engagement,-1.948315358599667,0.17519975793827164
9529,25,Graduation,Married,73687.0,8,1627,21,1,5,0,2,Established Value,2.7078124071812937,-1.3414536716973153
6439,57,Graduation,Married,61074.0,37,1102,24,0,18,1,3,Digital-Engaged,1.4288830832368988,2.547493992415445
7411,51,PhD,Married,31686.0,31,17,4,0,7,2,1,Low-Engagement,-2.249345773885357,-0.22982631988013125
2176,43,Graduation,Married,80134.0,40,1690,14,3,11,1,0,Premium High-Value,3.009584860518169,0.2398742889306247
9265,62,Graduation,Married,75027.0,74,1390,19,0,14,1,3,Digital-Engaged,1.6204512305607897,1.311901060532294
8867,27,PhD,Married,67546.0,90,2126,19,0,7,0,2,Established Value,2.4429879351060513,-0.9278076183150565
8932,46,Master,Together,65176.0,57,1531,21,0,15,1,3,Digital-Engaged,1.661820251242979,1.6784002922089964
